[[-0.15221229496801048, 0.26271973285808436], [-1.7393336493762832, 0.6337668347153893], [-0.8731400558877653, 0.5287396337671267], [-0.879380449444702, 0.14299023317991227], [-1.1026298851387888, 0.5931139719651037], [-1.2026129849692102, 0.6579012269544611]]
[[-0.15222316522641902, 0.2622529275672788], [-1.7383958863589366, 0.6332168583922416], [-0.8721842265682886, 0.529207842865085], [-0.8782989208723756, 0.14371268139813234], [-1.1021947034024329, 0.59306409846296], [-1.201163068929423, 0.6566406065286222]]
[[-0.15223372131326626, 0.2617852147566131], [-1.7374540532672444, 0.632665530366773], [-0.8712258238924354, 0.5296748348236758], [-0.8772141251818584, 0.14443429762714868], [-1.1017570528892484, 0.5930129276726414], [-1.1997098705835247, 0.6553781577397773]]
[[-0.1522439632724955, 0.26131659706571947], [-1.7365081526061525, 0.632112853413943], [-0.8702648497571137, 0.5301406098586078], [-0.8761260650600692, 0.14515508125200735], [-1.1013169337821744, 0.5929604612364264], [-1.1982533941442153, 0.654113885450531]]
[[-0.15225389114878338, 0.2608470771366131], [-1.735558186890723, 0.6315588303120718], [-0.8693013060665408, 0.5306051681886997], [-0.8750347432037023, 0.14587503166011417], [-1.1008743462703987, 0.5929067007993717], [-1.196793643834482, 0.65284779452865]]
[[-0.15226350498753846, 0.2603766576136811], [-1.7346041586461263, 0.6310034638428269], [-0.8683351947322325, 0.531068510035873], [-0.8739401623192193, 0.14659414824122652], [-1.1004292905493565, 0.5928516480092976], [-1.195330623887585, 0.6515798898470426]]
[[-0.15227280483490227, 0.25990534114367375], [-1.733646070407635, 0.6304467567912134], [-0.8673665176730039, 0.5315306356251513], [-0.8728423251228437, 0.14731243038745756], [-1.0999817668207348, 0.5927953045167839], [-1.1938643385470467, 0.6503101762837428]]
[[-0.1522817907377444, 0.25943313037569604], [-1.732683924720613, 0.6298887119455655], [-0.8663952768149566, 0.5319915451846594], [-0.871741234340549, 0.14802987749327573], [-1.099531775292471, 0.5927376719751628], [-1.192394792066632, 0.6490386587218986]]
[[-0.15229046274366392, 0.2589600279611967], [-1.7317177241405097, 0.6293293320975322], [-0.8654214740914767, 0.5324512389456163], [-0.8706368927080531, 0.14874648895550166], [-1.099079316178756, 0.5926787520405083], [-1.1909219887103395, 0.6477653420497514]]
[[-0.15229882090098873, 0.25848603655395735], [-1.7307474712328526, 0.6287686200420707], [-0.8644451114432296, 0.5329097171423347], [-0.869529302970812, 0.14946226417331168], [-1.0986243897000325, 0.5926185463716327], [-1.1894459327523874, 0.6464902311606204]]
[[-0.1523068652587727, 0.25801115881008546], [-1.7297731685732374, 0.6282065785774348], [-0.8634661908181519, 0.5333669800122184], [-0.8684184678840082, 0.1501772025482354], [-1.0981669960830005, 0.5925570566300763], [-1.187966628477198, 0.645213330952889]]
[[-0.15231459586679774, 0.25753539738800396], [-1.7287948187473239, 0.6276432105051615], [-0.8624847141714481, 0.5338230277957572], [-0.8673043902125464, 0.15089130348415428], [-1.097707135560616, 0.5924942844800992], [-1.186484080179387, 0.643934646329986]]
[[-0.15232201277556887, 0.25705875494844], [-1.727812424350822, 0.6270785186300664], [-0.861500683465581, 0.5342778607365261], [-0.866187072731042, 0.15160456638730482], [-1.0972448083720916, 0.5924302315886772], [-1.184998292163745, 0.6426541822003706]]
[[-0.1523291160363157, 0.25658123415441714], [-1.7268259879894914, 0.6265125057602279], [-0.8605141006702693, 0.5347314790811818], [-0.8650665182238163, 0.15231699066627521], [-1.0967800147628997, 0.5923648996254909], [-1.1835092687452298, 0.6413719434775164]]
[[-0.15233590570099118, 0.2561028376712457], [-1.7258355122791253, 0.6259451747069796], [-0.8595249677624798, 0.5351838830794591], [-0.8639427294848865, 0.15302857573200684], [-1.0963127549847715, 0.5922982902629197], [-1.1820170142489481, 0.6400879350798953]]
[[-0.15234238182227017, 0.25562356816651], [-1.7248409998455496, 0.6253765282848972], [-0.858533286726421, 0.5356350729841663], [-0.8628157093179573, 0.15373932099779064], [-1.0958430292956995, 0.5922304051760316], [-1.180521533010144, 0.6388021619309584]]
[[-0.15234854445354834, 0.2551434283100635], [-1.723842453324612, 0.624806569311792], [-0.8575390595535407, 0.5360850490511868], [-0.8616854605364144, 0.1544492258792727], [-1.095370837959939, 0.5921612460425815], [-1.1790228293741825, 0.6375146289591247]]
[[-0.1523543936489418, 0.2546624207740161], [-1.7228398753621725, 0.624235300608697], [-0.8565422882425149, 0.5365338115394728], [-0.8605519859633156, 0.1551582897944492], [-1.0948961812480091, 0.5920908145429978], [-1.1775209076965398, 0.6362253410977621]]
[[-0.15235992946328536, 0.25418054823272407], [-1.7218332686140978, 0.6236627249998563], [-0.8555429747992458, 0.5369813607110404], [-0.8594152884313834, 0.15586651216366548], [-1.0944190594366914, 0.592019112360375], [-1.1760157723427869, 0.6349343032851685]]
[[-0.15236515195213063, 0.2536978133627824], [-1.7208226357462506, 0.6230888453127182], [-0.8545411212368519, 0.5374276968309724], [-0.858275370782993, 0.15657389240962039], [-1.0939394728090328, 0.5919461411804716], [-1.174507427688575, 0.6336415204645621]]
[[-0.15237006117174737, 0.2532142188430129], [-1.7198079794344856, 0.6225136643779199], [-0.8535367295756653, 0.5378728201674089], [-0.8571322358701697, 0.15728042995736194], [-1.0934574216543498, 0.5918719026916959], [-1.1729958781196212, 0.6323469975840583]]
[[-0.1523746571791206, 0.25272976735445746], [-1.7187893023646352, 0.6219371850292815], [-0.8525298018432251, 0.5383167309915504], [-0.8559858865545764, 0.15798612423428887], [-1.092972906268222, 0.5917963985851035], [-1.1714811280316995, 0.6310507395966591]]
[[-0.15237894003194988, 0.2522444615803639], [-1.7177666072325097, 0.6213594101037905], [-0.85152034007427, 0.5387594295776474], [-0.8548363257075078, 0.15869097467014745], [-1.092485926952502, 0.5917196305543845], [-1.169963181830619, 0.6297527514602307]]
[[-0.1523829097886495, 0.25175830420618056], [-1.7167398967438812, 0.6207803424415952], [-0.8505083463107322, 0.5392009162030041], [-0.8536835562098808, 0.15939498069703545], [-1.0919964840153094, 0.5916416002958604], [-1.168442043932217, 0.6284530381374933]]
[[-0.15238656650834567, 0.25127129791954467], [-1.715709173614476, 0.620199984885994], [-0.8494938226017328, 0.5396411911479732], [-0.8525275809522254, 0.1600981417493988], [-1.0915045777710333, 0.5915623095084757], [-1.1669177187623405, 0.6271516045960009]]
[[-0.15238991025087573, 0.25078344541027164], [-1.7146744405699748, 0.6196183402834207], [-0.8484767710035741, 0.5400802546959489], [-0.8513684028346795, 0.16080045726403036], [-1.091010208540337, 0.5914817598937859], [-1.1653902107568326, 0.6258484558081243]]
[[-0.1523929410767877, 0.2502947493703475], [-1.7136357003459937, 0.6190354114834408], [-0.8474571935797316, 0.5405181071333711], [-0.8502060247669756, 0.16150192668007385], [-1.0905133766501542, 0.5913999531559574], [-1.1638595243615195, 0.6245435967510393]]
[[-0.15239565904733998, 0.249805212493918], [-1.7125929556880808, 0.6184512013387322], [-0.8464350924008538, 0.5409547487497159], [-0.8490404496684363, 0.1622025494390175], [-1.0900140824336928, 0.5913168910017518], [-1.1623256640321966, 0.6232370324067052]]
[[-0.15239806422449903, 0.24931483747727867], [-1.7115462093517109, 0.6178657127050841], [-0.8454104695447505, 0.5413901798374955], [-0.8478716804679651, 0.16290232498469961], [-1.0895123262304351, 0.5912325751405252], [-1.1607886342346136, 0.621928767761852]]
[[-0.15240015667093798, 0.24882362701886443], [-1.7104954641022687, 0.6172789484413785], [-0.8443833270963862, 0.5418244006922543], [-0.8466997201040356, 0.16360125276330345], [-1.0890081083861365, 0.5911470072842145], [-1.1592484394444584, 0.6206188078079602]]
[[-0.15240193645003633, 0.24833158381924253], [-1.7094407227150514, 0.6166909114095827], [-0.8433536671478783, 0.5422574116125664], [-0.8455245715246861, 0.1642993322233582], [-1.088501429252832, 0.5910601891473343], [-1.1577050841473464, 0.6193071575412484]]
[[-0.15240340362588023, 0.2478387105810993], [-1.7083819879752502, 0.6161016044747398], [-0.8423214917984878, 0.5426892129000311], [-0.84434623768751, 0.16499656281574016], [-1.0879922891888316, 0.5909721224469658], [-1.1561585728388042, 0.6179938219626544]]
[[-0.15240455826325883, 0.2473450100092322], [-1.7073192626779472, 0.6155110305049565], [-0.8412868031546122, 0.5431198048592712], [-0.8431647215596444, 0.1656929439936708], [-1.0874806885587214, 0.5908828089027526], [-1.154608910024255, 0.6166788060778193]]
[[-0.15240540042766415, 0.24685048481054156], [-1.7062525496281054, 0.6149191923713934], [-0.8402496033297804, 0.54354918779793], [-0.8419800261177659, 0.16638847521271616], [-1.0869666277333687, 0.5907922502368902], [-1.1530561002190036, 0.6153621148970716]]
[[-0.1524059301852906, 0.2463551376940161], [-1.7051818516405617, 0.6143260929482511], [-0.8392098944446468, 0.5439773620266648], [-0.8407921543480793, 0.16708315593078588], [-1.0864501070899195, 0.5907004481741176], [-1.1515001479482245, 0.6140437534354075]]
[[-0.1524061476030339, 0.24585897137072918], [-1.7041071715400151, 0.6137317351127661], [-0.8381676786269836, 0.54440432785915], [-0.8396011092463084, 0.1677769856081361], [-1.0859311270117982, 0.5906074044417133], [-1.149941057746945, 0.6127237267124823]]
[[-0.15240605274848903, 0.2453619885538227], [-1.7030285121610222, 0.6131361217451924], [-0.8371229580116758, 0.5448300856120656], [-0.8384068938176901, 0.16846996370736267], [-1.0854096878887125, 0.5905131207694831], [-1.148378834160033, 0.6114020397525814]]
[[-0.15240564568994938, 0.24486419195850365], [-1.7019458763479856, 0.6125392557287966], [-0.836075734740712, 0.5452546356051027], [-0.8372095110769617, 0.1691620896934079], [-1.0848857901166487, 0.5904175988897565], [-1.1468134817421778, 0.6100786975846164]]
[[-0.15240492649640794, 0.24436558430202907], [-1.7008592669551477, 0.611941139949847], [-0.8350260109631831, 0.5456779781609552], [-0.8360089640483568, 0.16985336303355572], [-1.0843594340978802, 0.5903208405373768], [-1.145245005057883, 0.6087537052421018]]
[[-0.15240389523755155, 0.24386616830369848], [-1.699768686846578, 0.6113417772975954], [-0.8339737888352684, 0.5461001136053144], [-0.8348052557655908, 0.1705437831974296], [-1.0838306202409582, 0.5902228474496906], [-1.1436734086814444, 0.6074270677631372]]
[[-0.1524025519837647, 0.2433659466848451], [-1.6986741388961693, 0.6107411706642785], [-0.8329190705202363, 0.5465210422668739], [-0.833598389271858, 0.17123334965699835], [-1.08329934896072, 0.5901236213665474], [-1.1420986971969405, 0.6060987901903964]]
[[-0.15240089680612529, 0.24286492216882266], [-1.6975756259876262, 0.6101393229450952], [-0.831861858188433, 0.5469407644773164], [-0.8323883676198177, 0.17192206188656775], [-1.0827656206782892, 0.590023164030283], [-1.1405208751982152, 0.6047688775711034]]
[[-0.1523989297764042, 0.24236309748100043], [-1.6964731510144564, 0.6095362370382061], [-0.8308021540172775, 0.5473592805713202], [-0.8311751938715887, 0.1726099193627878], [-1.0822294358210707, 0.5899214771857206], [-1.1389399472888626, 0.6034373349570257]]
[[-0.1523966509670667, 0.24186047534874675], [-1.6953667168799638, 0.6089319158447152], [-0.8297399601912568, 0.5477765908865461], [-0.8299588710987392, 0.1732969215646446], [-1.0816907948227579, 0.5898185625801535], [-1.1373559180822184, 0.6021041674044443]]
[[-0.15239406045126666, 0.24135705850142788], [-1.6942563264972377, 0.6083263622686628], [-0.8286752789019158, 0.5481926957636444], [-0.8287394023822773, 0.17398306797346727], [-1.08114969812333, 0.5897144219633467], [-1.1357687922013355, 0.6007693799741521]]
[[-0.15239115830284755, 0.24085284967038845], [-1.693141982789142, 0.6077195792170123], [-0.8276081123478504, 0.5486075955462411], [-0.8275167908126398, 0.17466835807291944], [-1.080606146169051, 0.5896090570875201], [-1.1341785742789738, 0.5994329777314233]]
[[-0.15238794459634528, 0.24034785158895006], [-1.692023688688315, 0.6071115695996439], [-0.8265384627347082, 0.5490212905809442], [-0.826291039489692, 0.17535279134900672], [-1.0800601394124767, 0.5895024697073508], [-1.1325852689575902, 0.5980949657460077]]
[[-0.15238441940697994, 0.23984206699239555], [-1.6909014471371497, 0.6065023363293388], [-0.8254663322751712, 0.5494337812173337], [-0.825062151522706, 0.17603636729006977], [-1.0795116783124472, 0.5893946615799539], [-1.130988880889315, 0.5967553490921057]]
[[-0.15238058281065983, 0.23933549861796283], [-1.6897752610877919, 0.6058918823217726], [-0.8243917231889563, 0.5498450678079624], [-0.8238301300303622, 0.17671908538678827], [-1.078960763334093, 0.5892856344648855], [-1.1293894147359427, 0.5954141328483586]]
